                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2752,                0.79356,                 1.2178,                0.92701,                0.89147,                0.91068,                 0.5937,                 1.2457,                 0.5719,                 1.1935,              0.0013466,              0.0013466,              0.0013466
                     35,                  1.274,                0.74216,                 1.2167,                0.96124,                0.87791,                0.92011,                0.60201,                 1.2097,                0.55012,                 1.1751,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2224,                0.71688,                 1.1853,                0.97595,                0.87016,                0.92277,                0.60358,                 1.2028,                0.54537,                 1.1538,               0.001307,               0.001307,               0.001307
                     37,                 1.2219,                0.74383,                 1.1805,                0.92801,                0.89729,                0.92238,                0.62682,                 1.1363,                0.52766,                 1.1272,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2302,                0.72072,                 1.1836,                0.93394,                0.89535,                0.91354,                0.59001,                 1.1923,                0.55274,                  1.153,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2492,                0.73186,                 1.1908,                0.95756,                0.87445,                0.92036,                0.61879,                 1.1681,                0.52683,                 1.1391,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2295,                0.75707,                 1.1911,                0.91721,                0.87403,                 0.9187,                0.63046,                 1.1294,                0.60528,                 1.1221,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1938,                0.72296,                 1.1735,                0.95683,                0.86434,                0.91271,                 0.6024,                 1.1913,                0.54207,                 1.1529,               0.001208,               0.001208,               0.001208
                     42,                 1.2146,                0.71955,                 1.1851,                0.95617,                 0.8876,                0.92598,                0.62243,                 1.1532,                0.52934,                 1.1348,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1883,                0.66904,                 1.1709,                0.93824,                0.90698,                0.91501,                0.61618,                 1.1475,                0.52355,                 1.1364,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2298,                0.71553,                 1.1855,                 0.9599,                0.88145,                0.92661,                0.62723,                 1.1605,                0.54416,                 1.1354,              0.0011486,              0.0011486,              0.0011486
